iter	MultiClass
0	1.378873334
1	1.371962785
2	1.365346478
3	1.35939382
4	1.353402016
5	1.347688158
6	1.341914066
7	1.336613398
8	1.331662427
9	1.326963851
10	1.322285113
11	1.31778644
12	1.313836524
13	1.310004709
14	1.306411495
15	1.302707089
16	1.299164303
17	1.295694682
18	1.29255158
19	1.289559785
20	1.286703306
21	1.283499124
22	1.280670647
23	1.278033378
24	1.275388511
25	1.272563265
26	1.269922972
27	1.267261749
28	1.26528157
29	1.262945071
30	1.261059739
31	1.259142827
32	1.256872079
33	1.255106749
34	1.253090399
35	1.251027618
36	1.249324266
37	1.247872423
38	1.245939525
39	1.244028105
40	1.242334652
41	1.240937237
42	1.239350359
43	1.238004742
44	1.236777337
45	1.235834611
46	1.234307988
47	1.232668795
48	1.231009531
49	1.230296087
50	1.228848083
51	1.227252506
52	1.225814751
53	1.224751472
54	1.223441618
55	1.222535083
56	1.221438865
57	1.220421846
58	1.21888654
59	1.217916169
60	1.217070748
61	1.215990235
62	1.214683296
63	1.213414752
64	1.212462286
65	1.211493266
66	1.21072756
67	1.209281517
68	1.207815432
69	1.20647509
70	1.205565787
71	1.204900888
72	1.203577954
73	1.20279274
74	1.202072992
75	1.201037252
76	1.199754876
77	1.198527512
78	1.197396013
79	1.196053043
80	1.194909541
81	1.194184949
82	1.193302826
83	1.192503863
84	1.191385784
85	1.191135494
86	1.190101265
87	1.18916364
88	1.188401511
89	1.1876568
90	1.186518011
91	1.185807714
92	1.18468615
93	1.184341786
94	1.183777659
95	1.182661861
96	1.181885092
97	1.180749784
98	1.180157738
99	1.179134792
100	1.177936689
101	1.177574919
102	1.176677479
103	1.176221717
104	1.175145575
105	1.174297929
106	1.17366789
107	1.173139369
108	1.172762635
109	1.172000145
110	1.171106684
111	1.170496357
112	1.169973308
113	1.16884925
114	1.168118433
115	1.1673612
116	1.166453211
117	1.165706003
118	1.164812193
119	1.164267385
120	1.163592375
121	1.16304198
122	1.162799211
123	1.161709083
124	1.16067613
125	1.15993546
126	1.159574734
